iter	Logloss
0	0.6871850763
1	0.682530488
2	0.6759121363
3	0.6702107954
4	0.6659314197
5	0.6620560872
6	0.6586601773
7	0.6558056153
8	0.6532191174
9	0.6510812205
10	0.6488248497
11	0.6473372253
12	0.6456890212
13	0.6441629561
14	0.6429435391
15	0.6417667397
16	0.6408113223
17	0.6398327394
18	0.6385885109
19	0.637828284
20	0.6368765569
21	0.6360967135
22	0.6356408306
23	0.6349181696
24	0.6340997961
25	0.6332395764
26	0.6325531793
27	0.6320528745
28	0.6316216228
29	0.631192304
30	0.6307013514
31	0.6301603203
32	0.6294519608
33	0.6289160273
34	0.6282862112
35	0.6276170047
36	0.6272687328
37	0.6252623603
38	0.624788021
39	0.6238431197
40	0.6235968962
41	0.6231280358
42	0.6227467019
43	0.6222210254
44	0.6218399708
45	0.6218292065
46	0.6216682439
47	0.6216430404
48	0.6213867107
49	0.6211409932
50	0.6137835969
51	0.613456385
52	0.6132492118
53	0.6129764477
54	0.6128404444
55	0.6125257991
56	0.6122493851
57	0.6118330531
58	0.6116390802
59	0.6111925154
60	0.6109922905
61	0.6089321881
62	0.6088017383
63	0.6086914529
64	0.6084421044
65	0.6081728601
66	0.6079866315
67	0.6076770958
68	0.6075016054
69	0.6071601111
70	0.6070200083
71	0.6066038697
72	0.6065167701
73	0.6060906832
74	0.6057878618
75	0.6055378402
76	0.6053800446
77	0.6052021187
78	0.6048944665
79	0.6047548302
80	0.6045915483
81	0.6041851197
82	0.6041026853
83	0.603895672
84	0.6036268542
85	0.6033356189
86	0.603097678
87	0.6000775422
88	0.5998535706
89	0.5997356417
90	0.5995914542
91	0.5991943574
92	0.5990919679
93	0.5989661913
94	0.5988109338
95	0.5986662319
96	0.5983769244
97	0.5982554356
98	0.5981646898
99	0.5980955837
100	0.5977990039
101	0.5974676174
102	0.5972943257
103	0.5971439035
104	0.596624882
105	0.5961960322
106	0.5958142343
107	0.5955730589
108	0.5954187983
109	0.5949473551
110	0.5947223614
111	0.5942495812
112	0.5939897386
113	0.5935976366
114	0.5933802512
115	0.5931346409
116	0.5931001923
117	0.5928609
118	0.5922068398
119	0.5920485902
120	0.5919482674
121	0.5916040477
122	0.5912183481
123	0.5908811648
124	0.5907214602
125	0.5903384153
126	0.5901671934
127	0.5900128196
128	0.589940362
129	0.5897828958
130	0.5894353265
131	0.5892225123
132	0.5890757439
133	0.5888763928
134	0.5886063795
135	0.5883270688
136	0.5880941507
137	0.5878544003
138	0.5875749702
139	0.5870734005
140	0.5870029408
141	0.5866258261
142	0.586426691
143	0.5861626003
144	0.5858558232
145	0.5855616343
146	0.5851870264
147	0.584864712
148	0.584688353
149	0.584437168
150	0.5843973451
151	0.5842805636
152	0.5840460568
153	0.5839059209
154	0.5836550797
155	0.5831336401
156	0.5829512071
157	0.5824211279
158	0.582008189
159	0.5818702431
160	0.5818480945
161	0.5815660847
162	0.5815240957
163	0.5813384819
164	0.581311767
165	0.5811802658
166	0.5810672328
167	0.5806990594
168	0.5804432028
169	0.5800756836
170	0.579784468
171	0.5797430664
172	0.5795650609
173	0.5793855056
174	0.5790461955
175	0.5790244117
176	0.5788038597
177	0.5786638482
178	0.5782271727
179	0.5780306045
180	0.5777300729
181	0.5777157242
182	0.5775958075
183	0.5774953605
184	0.5773000817
185	0.5769268247
186	0.5766094533
187	0.5764917642
188	0.5759840779
189	0.5751571522
190	0.5748932363
191	0.5748223083
192	0.5746293475
193	0.5743928039
194	0.5741856131
195	0.5735976791
196	0.5733417272
197	0.5733281228
198	0.5731719061
199	0.5729965493
200	0.5729017689
201	0.5726485312
202	0.5724908944
203	0.5721381664
204	0.5720108832
205	0.5716524695
206	0.5715878879
207	0.5714901483
208	0.5712146956
209	0.5710079174
210	0.5708360736
211	0.5706765044
212	0.5704198673
213	0.5698449685
214	0.5696727108
215	0.5695970941
216	0.5694804886
217	0.5691826794
218	0.568977074
219	0.568832682
220	0.5686116694
221	0.5684675426
222	0.5684178261
223	0.5681027484
224	0.5680462174
225	0.5678975648
226	0.5676962978
227	0.5675892534
228	0.5674793499
229	0.5672949457
230	0.5672527451
231	0.5671797364
232	0.5670309604
233	0.5667334644
234	0.5665442991
235	0.5664302919
236	0.5660957936
237	0.56595138
238	0.565818991
239	0.565552416
240	0.5650214852
241	0.5649657728
242	0.56465999
243	0.5644664884
244	0.5642193621
245	0.5641687982
246	0.5639822976
247	0.5638011652
248	0.5637112428
249	0.563618264
250	0.5629795416
251	0.5628993986
252	0.5626199209
253	0.5624342374
254	0.5623236538
255	0.5622449543
256	0.5621007242
257	0.5620304814
258	0.5617958718
259	0.5615544287
260	0.5614311348
261	0.5611993169
262	0.5609347433
263	0.5608862431
264	0.5607913876
265	0.5605334167
266	0.5603562407
267	0.5602086986
268	0.5598581503
269	0.5598078864
270	0.5594324896
271	0.5592114605
272	0.5590838198
273	0.5588553587
274	0.5587372056
275	0.5586064472
276	0.5573247936
277	0.5570521954
278	0.5567855585
279	0.556600057
280	0.5497304124
281	0.549587101
282	0.5456115509
283	0.5455000148
284	0.5452192867
285	0.5450448059
286	0.5446295072
287	0.5444444826
288	0.5441330637
289	0.5436280986
290	0.5434639933
291	0.5433423615
292	0.5433016504
293	0.543209479
294	0.5430856642
295	0.5428139947
296	0.5427576072
297	0.5426008236
298	0.5424501835
299	0.5423231649
