iter	Passed	Remaining
0	164	49049
1	185	27671
2	206	20439
3	225	16708
4	246	14565
5	267	13085
6	283	11870
7	297	10869
8	312	10090
9	325	9437
10	339	8916
11	353	8481
12	366	8100
13	381	7786
14	395	7506
15	409	7277
16	426	7098
17	441	6918
18	459	6794
19	476	6668
20	492	6541
21	505	6391
22	520	6272
23	536	6164
24	550	6056
25	564	5953
26	580	5866
27	594	5777
28	609	5697
29	625	5625
30	640	5554
31	654	5484
32	670	5423
33	677	5301
34	691	5235
35	708	5198
36	724	5146
37	739	5100
38	753	5040
39	768	4992
40	783	4948
41	798	4904
42	815	4875
43	832	4845
44	840	4760
45	855	4726
46	870	4688
47	888	4663
48	903	4628
49	918	4590
50	932	4551
51	947	4520
52	963	4490
53	978	4459
54	994	4429
55	1010	4403
56	1027	4380
57	1044	4359
58	1061	4337
59	1078	4313
60	1094	4288
61	1110	4264
62	1125	4235
63	1140	4206
64	1154	4175
65	1171	4152
66	1189	4135
67	1205	4112
68	1220	4086
69	1237	4064
70	1253	4041
71	1268	4018
72	1277	3972
73	1292	3947
74	1308	3925
75	1323	3902
76	1339	3878
77	1354	3855
78	1369	3831
79	1381	3798
80	1396	3774
81	1411	3751
82	1424	3724
83	1438	3699
84	1455	3680
85	1469	3657
86	1485	3637
87	1502	3620
88	1517	3598
89	1532	3574
90	1548	3556
91	1563	3535
92	1581	3519
93	1595	3497
94	1610	3476
95	1626	3455
96	1642	3436
97	1657	3416
98	1672	3395
99	1686	3373
100	1700	3351
101	1714	3327
102	1729	3308
103	1746	3290
104	1761	3271
105	1777	3252
106	1792	3232
107	1808	3214
108	1822	3194
109	1838	3174
110	1852	3154
111	1866	3133
112	1881	3113
113	1896	3093
114	1911	3074
115	1925	3054
116	1941	3037
117	1956	3018
118	1971	2998
119	1986	2980
120	2001	2961
121	2016	2942
122	2031	2923
123	2047	2906
124	2063	2889
125	2079	2872
126	2096	2855
127	2111	2837
128	2126	2819
129	2142	2801
130	2157	2783
131	2173	2765
132	2188	2747
133	2204	2731
134	2222	2716
135	2236	2697
136	2253	2680
137	2268	2663
138	2285	2646
139	2301	2629
140	2316	2612
141	2333	2596
142	2351	2582
143	2367	2564
144	2383	2548
145	2398	2530
146	2416	2514
147	2431	2497
148	2447	2480
149	2462	2462
150	2479	2446
151	2494	2429
152	2510	2411
153	2525	2394
154	2540	2377
155	2555	2359
156	2570	2340
157	2585	2323
158	2600	2306
159	2617	2289
160	2632	2272
161	2647	2255
162	2662	2237
163	2678	2220
164	2694	2204
165	2710	2187
166	2724	2170
167	2738	2151
168	2753	2134
169	2770	2118
170	2785	2101
171	2802	2085
172	2819	2069
173	2836	2053
174	2852	2037
175	2869	2021
176	2885	2004
177	2899	1987
178	2916	1971
179	2932	1954
180	2946	1937
181	2961	1920
182	2976	1903
183	2994	1887
184	3011	1871
185	3026	1855
186	3041	1837
187	3055	1820
188	3072	1804
189	3088	1788
190	3102	1770
191	3118	1754
192	3134	1737
193	3150	1721
194	3165	1704
195	3179	1687
196	3195	1670
197	3209	1653
198	3225	1637
199	3240	1620
200	3255	1603
201	3270	1586
202	3288	1571
203	3304	1554
204	3321	1539
205	3338	1523
206	3354	1507
207	3371	1491
208	3386	1474
209	3401	1457
210	3416	1441
211	3432	1424
212	3447	1408
213	3463	1391
214	3479	1375
215	3494	1358
216	3509	1342
217	3525	1325
218	3540	1309
219	3557	1293
220	3572	1277
221	3588	1260
222	3604	1244
223	3619	1228
224	3637	1212
225	3654	1196
226	3672	1180
227	3688	1164
228	3702	1147
229	3719	1131
230	3733	1115
231	3750	1099
232	3766	1083
233	3781	1066
234	3798	1050
235	3813	1034
236	3829	1017
237	3843	1001
238	3859	985
239	3874	968
240	3890	952
241	3907	936
242	3923	920
243	3939	904
244	3955	887
245	3971	871
246	3988	855
247	4002	839
248	4018	823
249	4035	807
250	4051	790
251	4066	774
252	4082	758
253	4097	742
254	4113	725
255	4128	709
256	4143	693
257	4161	677
258	4178	661
259	4195	645
260	4212	629
261	4228	613
262	4246	597
263	4263	581
264	4279	565
265	4297	549
266	4312	533
267	4328	516
268	4342	500
269	4358	484
270	4373	468
271	4388	451
272	4404	435
273	4420	419
274	4435	403
275	4451	387
276	4468	370
277	4484	354
278	4501	338
279	4516	322
280	4532	306
281	4550	290
282	4567	274
283	4582	258
284	4599	242
285	4614	225
286	4629	209
287	4646	193
288	4661	177
289	4677	161
290	4693	145
291	4709	129
292	4726	112
293	4744	96
294	4760	80
295	4777	64
296	4794	48
297	4812	32
298	4830	16
299	4847	0
